complexity,loss,equation,score,sympy_format,lambda_format
1,416.2632,V0,0.0,V0,PySRFunction(X=>V0)
3,231.63501,V0 * 0.8387628,0.29307742621300464,V0*0.8387628,PySRFunction(X=>V0*0.8387628)
5,212.28354,(STORM_SPD + V0) * 0.74330556,0.04362003308435755,(STORM_SPD + V0)*0.74330556,PySRFunction(X=>(STORM_SPD + V0)*0.74330556)
6,185.13786,sqrt(V0 * 83.31211) - t_hours,0.13682209715692584,9.12754676788895*sqrt(V0) - t_hours,PySRFunction(X=>9.12754676788895*sqrt(V0) - t_hours)
7,129.46234,exp((t_hours * -0.018329604) + log(V0)),0.35771070871679117,V0*exp(-0.018329604*t_hours),PySRFunction(X=>V0*exp(-0.018329604*t_hours))
9,93.62953,((V0 * -0.00014813543) * (V0 * t_hours)) + V0,0.16202210142777182,V0*(-0.00014813543)*V0*t_hours + V0,PySRFunction(X=>V0*(-0.00014813543)*V0*t_hours + V0)
11,86.5943,((V0 * ((V0 * t_hours) + h_mean)) * -0.00013433406) + V0,0.039055915819419404,V0*(V0*t_hours + h_mean)*(-0.00013433406) + V0,PySRFunction(X=>V0*(V0*t_hours + h_mean)*(-0.00013433406) + V0)
13,83.349335,(((V0 * t_hours) + h_mean) * ((V0 * -0.0001759193) - -0.0044953716)) + V0,0.019096681390039647,V0 + (V0*(-0.0001759193) - 1*(-0.0044953716))*(V0*t_hours + h_mean),PySRFunction(X=>V0 + (V0*(-0.0001759193) - 1*(-0.0044953716))*(V0*t_hours + h_mean))
15,82.589005,((((V0 * t_hours) + h_mean) * -0.00017475581) * ((STORM_SPD + V0) - 35.06961)) + V0,0.004582035236987568,V0 + (V0*t_hours + h_mean)*(-0.00017475581)*(STORM_SPD + V0 - 1*35.06961),PySRFunction(X=>V0 + (V0*t_hours + h_mean)*(-0.00017475581)*(STORM_SPD + V0 - 1*35.06961))
16,82.56229,(((h_mean + (V0 * t_hours)) * -0.00017811602) * (STORM_SPD + abs(36.715 - V0))) + V0,0.00032352153500229573,V0 + (V0*t_hours + h_mean)*(-0.00017811602)*(STORM_SPD + Abs(V0 - 36.715)),PySRFunction(X=>V0 + (V0*t_hours + h_mean)*(-0.00017811602)*(STORM_SPD + Abs(V0 - 36.715)))
17,80.85306,(V0 + ((h_mean + (t_hours * V0)) * ((V0 + (V0 - t_hours)) * -8.235742e-5))) / 0.9670979,0.02091960557835605,(V0 + (V0*t_hours + h_mean)*(V0 + V0 - t_hours)*(-8.235742e-5))/0.9670979,PySRFunction(X=>(V0 + (V0*t_hours + h_mean)*(V0 + V0 - t_hours)*(-8.235742e-5))/0.9670979)
18,80.752396,(((h_mean + ((t_hours * V0) + -222.82286)) * (V0 - sqrt(exp(sqrt(t_hours))))) * -0.00017357671) + V0,0.0012457996841312349,V0 - 0.00017357671*(V0 - sqrt(exp(sqrt(t_hours))))*(V0*t_hours + h_mean - 222.82286),PySRFunction(X=>V0 - 0.00017357671*(V0 - sqrt(exp(sqrt(t_hours))))*(V0*t_hours + h_mean - 222.82286))
19,80.55945,(V0 / 0.96381545) + ((((V0 * -1.0001775) + V0) + (t_hours * 0.000111356356)) * (h_mean + (t_hours * V0))),0.002392212311723325,V0/0.96381545 + (V0*t_hours + h_mean)*(V0*(-1.0001775) + V0 + t_hours*0.000111356356),PySRFunction(X=>V0/0.96381545 + (V0*t_hours + h_mean)*(V0*(-1.0001775) + V0 + t_hours*0.000111356356))
20,80.35152,(((((t_hours * V0) + h_mean) * (abs((V0 + -25.373089) - t_hours) + V0)) * -9.3302624e-5) + V0) / 0.9709627,0.002584411935787437,(V0 + (V0*t_hours + h_mean)*(V0 + Abs(-V0 + t_hours + 25.373089))*(-9.3302624e-5))/0.9709627,PySRFunction(X=>(V0 + (V0*t_hours + h_mean)*(V0 + Abs(-V0 + t_hours + 25.373089))*(-9.3302624e-5))/0.9709627)
21,80.064476,((h_mean + (t_hours * ((STORM_SPD + -15.887712) + V0))) * ((V0 + (V0 - t_hours)) * -8.99723e-5)) + (V0 / 0.96444136),0.0035787491711025674,V0/0.96444136 + (h_mean + t_hours*(STORM_SPD + V0 - 15.887712))*(V0 + V0 - t_hours)*(-8.99723e-5),PySRFunction(X=>V0/0.96444136 + (h_mean + t_hours*(STORM_SPD + V0 - 15.887712))*(V0 + V0 - t_hours)*(-8.99723e-5))
22,79.680824,((V0 + abs(V0 + ((STORM_SPD - t_hours) + -34.303074))) * (((V0 * t_hours) + h_mean) * -9.638198e-5)) + (V0 / 0.9682483),0.00480330548224489,V0/0.9682483 + (V0 + Abs(STORM_SPD + V0 - t_hours - 34.303074))*(V0*t_hours + h_mean)*(-9.638198e-5),PySRFunction(X=>V0/0.9682483 + (V0 + Abs(STORM_SPD + V0 - t_hours - 34.303074))*(V0*t_hours + h_mean)*(-9.638198e-5))
24,79.435486,(((((t_hours * V0) + h_mean) * (abs(STORM_SPD + ((STORM_SPD + (V0 + -42.21726)) - t_hours)) + V0)) * -9.262503e-5) + V0) / 0.965825,0.0015418796126026799,(V0 + (V0*t_hours + h_mean)*(V0 + Abs(STORM_SPD + STORM_SPD + V0 - t_hours - 42.21726))*(-9.262503e-5))/0.965825,PySRFunction(X=>(V0 + (V0*t_hours + h_mean)*(V0 + Abs(STORM_SPD + STORM_SPD + V0 - t_hours - 42.21726))*(-9.262503e-5))/0.965825)
